timestamps,open,high,low,close,volume,amount
2021-05-28,38.09,38.09,37.71,37.99,39416190.0,1497421058.1
2021-06-01,38.37,38.48,38.115,38.22,36006197.0,1376156849.34
2021-06-02,38.34,38.38,38.07,38.28,37572992.0,1438294133.76
2021-06-03,38.16,38.6,38.04,38.37,55051792.0,2112337259.04
2021-06-04,38.42,38.5,38.13,38.47,27496202.0,1057778890.94
2021-06-07,38.53,38.53,38.15,38.22,37560040.0,1435544728.8
2021-06-08,38.01,38.24,37.73,38.12,48250022.0,1839290838.64
2021-06-09,37.97,38.02,37.66,37.76,41327206.0,1560515298.56
2021-06-10,38.08,38.18,37.29,37.32,54867359.0,2047649837.88
2021-06-11,37.39,37.575,37.38,37.56,40814334.0,1532986385.0400002
2021-06-14,37.49,37.545,36.95,37.17,50741876.0,1886075530.92
2021-06-15,37.18,37.43,37.0,37.24,51686559.0,1924807457.16
2021-06-16,37.12,37.45,36.74,37.2,85526329.0,3181579438.8
2021-06-17,37.39,37.41,35.99,36.1,97879459.0,3533448469.9
2021-06-18,35.62,35.7408,35.18,35.23,181492682.0,6393987186.86
2021-06-21,35.44,35.93,35.38,35.91,90232477.0,3240248249.0699997
2021-06-22,35.99,36.11,35.63,35.97,42879720.0,1542383528.4
2021-06-23,36.0,36.21,35.95,36.04,48311438.0,1741144225.52
2021-06-24,36.25,36.58,36.08,36.49,43181046.0,1575676368.5400002
2021-06-25,36.68,37.025,36.465,36.93,57178954.0,2111618771.22
2021-06-28,36.86,36.89,36.45,36.66,70230992.0,2574668166.72
2021-06-29,36.85,37.045,36.43,36.53,61769425.0,2256437095.25
2021-06-30,36.42,36.77,36.41,36.69,42657277.0,1565095493.13
2021-07-01,36.87,37.0,36.68,36.98,36732801.0,1358378980.9799998
2021-07-02,36.98,37.02,36.7901,36.94,27131824.0,1002249578.56
2021-07-06,36.85,36.87,36.12,36.36,49416670.0,1796790121.2
2021-07-07,36.14,36.495,36.06,36.41,43907394.0,1598668215.54
2021-07-08,35.83,36.04,35.51,35.68,75399264.0,2690245739.52
2021-07-09,36.2,36.7599,36.09,36.71,70743908.0,2597008862.68
2021-07-12,36.49,37.14,36.33,37.07,63100152.0,2339122634.64
2021-07-13,36.95,37.01,36.535,36.67,44666287.0,1637912744.29
2021-07-14,36.69,36.93,36.1,36.5,69828013.0,2548722474.5
2021-07-15,36.14,36.85,36.14,36.62,54199604.0,1984789498.48
2021-07-16,36.81,36.81,36.04,36.12,56367612.0,2035998145.44
2021-07-19,35.42,35.61,34.9,35.11,86948357.0,3052756814.27
2021-07-20,35.07,36.22,35.0,35.98,71214670.0,2562303826.6
2021-07-21,36.27,36.78,36.24,36.6,60114864.0,2200204022.4
2021-07-22,36.47,36.56,36.045,36.2,35786979.0,1295488639.8000002
2021-07-23,36.55,36.65,36.155,36.26,37286643.0,1352013675.1799998
2021-07-26,36.19,36.54,36.17,36.47,25510144.0,930354951.68
2021-07-27,36.19,36.62,36.02,36.46,39143144.0,1427159030.24
2021-07-28,36.59,36.64,36.1619,36.41,43035041.0,1566905842.81
2021-07-29,36.65,36.9661,36.49,36.81,41346227.0,1521954615.87
2021-07-30,36.71,36.98,36.43,36.52,51575902.0,1883551941.04
2021-08-02,36.77,37.19,36.48,36.53,47212550.0,1724674451.5
2021-08-03,36.66,36.99,36.12,36.94,41819580.0,1544815285.1999998
2021-08-04,36.59,37.0181,36.4326,36.63,52126378.0,1909389226.14
