timestamps,open,high,low,close,volume,amount
2021-05-28,105.44,105.45,104.76,105.12,7623041.0,801334069.9200001
2021-06-01,106.14,106.31,105.32,105.53,9483945.0,1000840715.85
2021-06-02,105.62,105.73,105.07,105.23,7570290.0,796621616.7
2021-06-03,104.68,105.59,104.25,105.0,10360582.0,1087861110.0
2021-06-04,105.39,105.565,104.8,105.34,7137636.0,751878576.24
2021-06-07,105.54,105.56,104.33,104.61,8323283.0,870698634.63
2021-06-08,104.67,105.11,104.16,104.88,8863021.0,929553642.48
2021-06-09,104.81,104.81,103.77,103.81,10996983.0,1141596805.23
2021-06-10,104.48,104.68,103.25,103.3,10657186.0,1100887313.8
2021-06-11,103.7,104.02,102.97,103.51,10148423.0,1050463264.73
2021-06-14,103.41,103.55,102.47,103.04,11347810.0,1169278342.4
2021-06-15,103.19,103.7,102.77,103.48,9001469.0,931472012.12
2021-06-16,103.38,103.5,102.18,102.5,14007566.0,1435775515.0
2021-06-17,102.44,102.7,99.97,100.92,20870963.0,2106297585.96
2021-06-18,99.73,100.46,99.49,99.61,21592665.0,2150845360.65
2021-06-21,100.1,101.61,100.01,101.48,15698020.0,1593035069.6
2021-06-22,101.52,101.97,100.895,101.59,10671571.0,1084124897.89
2021-06-23,101.79,102.07,101.33,101.36,9164987.0,928963082.32
2021-06-24,101.96,102.31,101.42,102.15,11716937.0,1196885114.55
2021-06-25,102.23,102.72,102.07,102.35,13075322.0,1338259206.6999998
2021-06-28,102.31,102.39,101.345,101.81,12032049.0,1224982908.69
2021-06-29,102.14,102.57,101.51,101.61,11149577.0,1132908518.97
2021-06-30,101.53,102.59,101.51,102.4,13699675.0,1402846720.0
2021-07-01,103.0,103.19,102.59,103.13,13907601.0,1434290891.13
2021-07-02,103.15,103.465,102.7,103.29,9962410.0,1029017328.9
2021-07-06,103.05,103.19,101.18,102.3,11591146.0,1185774235.8
2021-07-07,102.07,103.47,101.971,103.32,14998320.0,1549626422.4
2021-07-08,101.69,102.53,101.03,101.88,17364719.0,1769117571.72
2021-07-09,102.97,103.65,102.87,103.49,13368246.0,1383479778.54
2021-07-12,102.97,103.75,102.6,103.63,10903368.0,1129916025.84
2021-07-13,103.41,103.5,102.58,102.63,14917599.0,1530993185.37
2021-07-14,102.89,103.29,102.255,102.62,10157862.0,1042399798.44
2021-07-15,102.04,103.24,101.99,102.82,11090515.0,1140326752.3
2021-07-16,103.17,103.19,101.781,101.91,17244181.0,1757354485.71
2021-07-19,100.28,100.49,98.77,99.78,23850014.0,2379754396.92
2021-07-20,100.08,102.695,99.94,102.57,20962964.0,2150171217.48
2021-07-21,102.94,103.9,102.9,103.55,14471091.0,1498481473.05
2021-07-22,103.74,103.75,103.01,103.17,6340518.0,654151242.0600001
2021-07-23,103.54,103.81,103.1,103.61,8075609.0,836713848.49
2021-07-26,103.33,103.91,102.89,103.56,7511442.0,777884933.52
2021-07-27,102.9,103.54,102.4,102.99,12449477.0,1282171636.23
2021-07-28,103.32,103.55,102.21,102.75,12025865.0,1235657628.75
2021-07-29,103.55,103.855,102.975,103.56,9767658.0,1011538662.48
2021-07-30,103.04,103.58,102.86,103.36,12824379.0,1325527813.44
2021-08-02,103.76,104.63,102.5584,102.65,15925534.0,1634756065.1
2021-08-03,102.85,104.04,101.97,103.99,14814300.0,1540539057.0
2021-08-04,103.28,103.805,102.56,102.58,16181019.0,1659848929.02
2021-08-05,103.0,103.41,102.67,103.06,12561508.0,1294589014.48
2021-08-06,103.48,103.98,103.35,103.54,8677160.0,898433146.4000001
2021-08-09,103.08,103.38,102.63,103.13,7469683.0,770348407.79
2021-08-10,103.32,104.47,103.195,104.18,12731195.0,1326335895.1
2021-08-11,104.39,105.54,104.01,105.53,12817434.0,1352623810.02
2021-08-12,105.53,105.73,104.785,105.33,9265287.0,975912679.71
2021-08-13,105.34,105.5,104.86,105.0,8909471.0,935494455.0
2021-08-16,104.69,105.37,104.0,105.36,10231215.0,1077960812.4
2021-08-17,104.73,104.78,103.23,104.22,15570022.0,1622707692.84
2021-08-18,103.81,104.395,103.045,103.08,11955198.0,1232341809.84
2021-08-19,102.31,103.06,101.78,102.36,17529721.0,1794342241.56
2021-08-20,102.41,102.9381,102.135,102.63,11750700.0,1205974341.0
2021-08-23,103.11,103.92,103.06,103.47,8470964.0,876490645.08
2021-08-24,103.67,104.45,103.65,103.99,7593172.0,789613956.28
2021-08-25,104.07,105.0,103.745,104.66,9404193.0,984242839.38
2021-08-26,104.54,104.61,103.985,104.2,9951097.0,1036904307.4
2021-08-27,104.55,105.21,104.32,104.92,10484388.0,1100021988.96
2021-08-30,105.1,105.28,104.55,104.8,6528165.0,684151692.0
2021-08-31,104.73,104.95,104.275,104.51,9621180.0,1005509521.8
2021-09-01,104.73,104.73,103.72,104.11,13116827.0,1365592858.97
2021-09-02,104.54,105.24,104.52,105.23,9633661.0,1013750147.03
2021-09-03,104.94,105.14,104.52,104.59,9855160.0,1030751184.4
2021-09-07,104.23,104.3,102.71,102.78,17879964.0,1837702699.92
2021-09-08,102.57,103.12,102.14,102.92,13561573.0,1395757093.16
2021-09-09,102.75,103.48,102.17,102.42,9406169.0,963379828.98
2021-09-10,102.91,103.12,101.915,101.96,9547823.0,973496033.08
2021-09-13,102.74,103.0,101.46,102.23,12465416.0,1274339477.68
2021-09-14,102.51,102.6,100.77,101.0,11506719.0,1162178619.0
2021-09-15,101.05,102.37,100.83,102.11,9194640.0,938864690.4
2021-09-16,102.1,102.35,101.24,101.41,10516239.0,1066451796.99
2021-09-17,101.06,101.3,100.175,100.33,16240162.0,1629375453.46
2021-09-20,98.54,99.06,97.78,98.86,21453561.0,2120899040.46
2021-09-21,99.34,99.4,97.8921,98.34,14345231.0,1410710016.54
2021-09-22,98.63,99.79,98.63,99.12,13080094.0,1296498917.28
2021-09-23,99.59,101.19,99.55,100.64,11440233.0,1151345049.12
2021-09-24,100.38,101.13,100.31,100.85,8254497.0,832466022.4499999
2021-09-27,100.99,101.85,100.89,100.95,9337978.0,942668879.1
2021-09-28,100.67,100.93,99.545,99.78,17057306.0,1701977992.68
2021-09-29,100.22,100.41,99.74,99.89,12148155.0,1213479202.95
2021-09-30,100.21,100.29,97.73,97.84,24661018.0,2412834001.12
2021-10-01,98.46,99.71,97.48,99.18,17051802.0,1691197722.36
2021-10-04,99.01,99.64,98.02,98.64,20182941.0,1990845300.24
2021-10-05,98.82,100.25,98.39,99.74,12987951.0,1295418232.74
2021-10-06,98.67,100.22,98.205,100.18,14702544.0,1472900857.92
2021-10-07,100.95,101.69,100.87,100.96,9669765.0,976259474.4
2021-10-08,100.86,101.2,100.52,100.95,8576829.0,865830887.5500001
2021-10-11,100.82,101.46,100.13,100.14,9984044.0,999802166.16
2021-10-12,100.26,100.61,99.61,99.81,10048788.0,1002969530.28
2021-10-13,99.99,100.44,98.93,100.02,12416671.0,1241915433.4199998
2021-10-14,100.83,101.935,100.62,101.91,9752931.0,993921198.21
2021-10-15,102.61,103.33,102.47,102.89,11775253.0,1211555781.17
2021-10-18,102.3,103.07,101.895,102.96,6780227.0,698092171.92
2021-10-19,103.47,103.605,102.86,103.57,6911171.0,715789980.4699999
