timestamps,open,high,low,close,volume,amount
2021-05-28,69.305,69.6,69.165,69.2,9252728.0,640288777.6
2021-06-01,69.51,69.585,68.735,68.86,12972894.0,893313480.84
2021-06-02,69.0,69.615,68.87,69.335,10139178.0,702999906.63
2021-06-03,68.775,69.05,68.27,68.69,12757450.0,876309240.5
2021-06-04,69.11,70.0897,69.11,70.01,11230902.0,786275449.0200001
2021-06-07,69.95,70.075,69.6525,69.995,11827264.0,827849343.6800001
2021-06-08,70.33,70.625,69.805,70.0,8932960.0,625307200.0
2021-06-09,70.34,70.46,70.01,70.05,9792576.0,685969948.8
2021-06-10,70.195,70.74,69.945,70.565,11310640.0,798135311.6
2021-06-11,70.655,70.985,70.59,70.985,12129066.0,860981750.01
2021-06-14,71.055,71.71,70.765,71.705,11482244.0,823334306.02
2021-06-15,71.65,71.65,71.135,71.265,15143306.0,1079187702.09
2021-06-16,71.4,71.535,70.1825,70.88,19230210.0,1363037284.8
2021-06-17,70.675,71.9942,70.675,71.7,15905116.0,1140396817.2
2021-06-18,71.355,71.635,70.96,71.045,20873142.0,1482932373.39
2021-06-21,70.945,71.715,70.485,71.675,12328510.0,883645954.25
2021-06-22,71.63,72.365,71.55,72.325,9281104.0,671255846.8000001
2021-06-23,72.335,72.4975,72.085,72.245,8316512.0,600826409.44
2021-06-24,72.71,72.9213,72.555,72.7,12348746.0,897753834.2
2021-06-25,72.765,72.82,72.495,72.615,14424712.0,1047450461.88
2021-06-28,72.915,73.46,72.9,73.375,12597050.0,924308543.75
2021-06-29,73.415,73.945,73.245,73.91,9887310.0,730771082.1
2021-06-30,73.795,74.01,73.6,73.83,11056978.0,816336685.74
2021-07-01,73.73,73.955,73.455,73.955,11589486.0,857100437.13
2021-07-02,74.31,75.0075,74.29,74.93,12827004.0,961127409.72
2021-07-06,75.09,75.57,74.495,75.215,11933366.0,897568123.69
2021-07-07,75.695,75.78,75.02,75.625,15050612.0,1138202532.5
2021-07-08,74.435,75.1175,74.1,74.91,17207858.0,1289040642.78
2021-07-09,74.82,75.67,74.71,75.6,9812024.0,741789014.4
2021-07-12,75.9,75.935,75.415,75.66,9788222.0,740576876.52
2021-07-13,75.53,76.52,75.465,75.97,15239224.0,1157723847.28
2021-07-14,76.58,76.92,76.195,76.53,12979704.0,993336747.12
2021-07-15,76.44,76.5,75.495,75.9,12555004.0,952924803.6
2021-07-16,76.05,76.41,75.075,75.15,15116904.0,1136035335.6
2021-07-19,74.255,74.4595,73.685,74.115,24335654.0,1803636996.21
2021-07-20,74.485,75.63,74.055,75.215,14749900.0,1109413728.5
2021-07-21,75.185,75.955,75.045,75.94,12281280.0,932640403.2
2021-07-22,76.1,76.559,76.1,76.5,9613936.0,735466104.0
2021-07-23,76.84,77.2975,76.565,77.26,12614784.0,974618211.84
2021-07-26,77.065,77.3575,76.775,77.22,9076930.0,700920534.6
2021-07-27,77.125,77.15,75.525,76.49,18147294.0,1388086518.06
2021-07-28,76.515,76.7975,75.665,76.395,13987824.0,1068599814.48
2021-07-29,76.315,77.01,76.305,76.75,12030696.0,923355918.0
2021-07-30,76.26,76.78,76.24,76.7,10149456.0,778463275.2
2021-08-02,77.045,77.15,76.32,76.425,12205870.0,932833614.75
2021-08-03,76.565,76.955,75.945,76.915,10782026.0,829299529.7900001
2021-08-04,76.855,77.26,76.61,77.07,11322782.0,872646808.7399999
2021-08-05,77.21,77.52,76.98,77.495,6674662.0,517252931.69000006
2021-08-06,77.225,77.52,77.205,77.43,7602836.0,588687591.48
2021-08-09,77.52,77.66,77.105,77.18,7198130.0,555551673.4000001
2021-08-10,77.32,77.39,76.4025,76.625,10421348.0,798535790.5
2021-08-11,76.89,77.03,76.245,76.635,10832258.0,830130091.83
2021-08-12,76.555,77.12,76.24,77.075,6948712.0,535571977.4
2021-08-13,77.125,77.515,77.04,77.495,5631218.0,436391238.91
2021-08-16,77.31,77.855,76.655,77.845,9494214.0,739077088.83
2021-08-17,77.37,77.495,76.7215,77.2,19052668.0,1470865969.6
2021-08-18,77.02,77.365,76.05,76.135,13481182.0,1026389791.57
2021-08-19,75.715,77.165,75.605,76.88,19291344.0,1483118526.72
