timestamps,open,high,low,close,volume,amount
2021-05-28,70.77,71.105,70.76,70.81,8489371.0,601132360.51
2021-06-01,71.08,71.26,70.33,70.57,8950204.0,631615896.28
2021-06-02,70.67,70.955,70.5,70.83,6426360.0,455179078.8
2021-06-03,70.62,71.33,70.62,71.27,9426522.0,671828222.9399999
2021-06-04,71.48,71.685,71.29,71.52,6096503.0,436021894.56
2021-06-07,71.53,71.62,71.08,71.4,7330261.0,523380635.4
2021-06-08,71.42,71.51,70.785,70.8,8575897.0,607173507.6
2021-06-09,70.67,71.02,70.44,70.46,8304803.0,585156419.38
2021-06-10,70.59,71.075,70.56,70.9,8233700.0,583769330.0
2021-06-11,71.04,71.07,70.6,70.94,6258237.0,443959332.78
2021-06-14,70.88,70.92,70.465,70.9,10469433.0,742282799.7
2021-06-15,70.96,71.12,70.664,70.73,5170334.0,365697723.82
2021-06-16,70.75,70.83,69.77,69.79,10542282.0,735745860.7800001
2021-06-17,69.8,70.19,69.61,70.04,9263505.0,648815890.2
2021-06-18,69.56,69.65,68.78,68.8,16907356.0,1163226092.8
2021-06-21,68.76,69.21,68.72,69.14,14323861.0,990351749.54
2021-06-22,69.15,69.53,69.0417,69.24,8369374.0,579495455.76
2021-06-23,69.18,69.19,68.81,68.81,7098512.0,488448610.72
2021-06-24,68.83,69.23,68.77,69.15,6387679.0,441708002.85
2021-06-25,69.19,69.76,69.065,69.68,9263892.0,645507994.5600001
2021-06-28,69.73,69.93,69.585,69.74,7608111.0,530589661.14
2021-06-29,69.78,69.9,69.32,69.43,13168824.0,914311450.32
2021-06-30,69.58,70.0592,69.55,69.97,8841692.0,618653189.24
2021-07-01,70.0,70.17,69.65,69.76,11672668.0,814285319.6800001
2021-07-02,69.92,70.14,69.83,69.93,20749876.0,1451038828.68
2021-07-06,69.77,69.8,69.31,69.64,7629330.0,531306541.2
2021-07-07,69.62,70.275,69.61,70.01,7897450.0,552900474.5
2021-07-08,69.68,70.06,69.48,69.75,9235451.0,644172707.25
2021-07-09,70.02,70.275,69.88,70.15,6320202.0,443362170.3
2021-07-12,70.03,70.14,69.771,70.04,7398106.0,518163344.24000007
2021-07-13,70.02,70.45,69.875,70.02,12099548.0,847210350.9599999
2021-07-14,70.11,70.74,70.01,70.64,7655928.0,540814753.92
2021-07-15,70.53,70.94,70.325,70.93,8684565.0,615996195.45
2021-07-16,71.05,71.31,70.95,71.04,8652330.0,614661523.2
2021-07-19,70.8,71.27,70.2,70.83,20773622.0,1471395646.26
2021-07-20,70.82,71.54,70.66,70.85,20446595.0,1448641255.75
2021-07-21,71.18,71.235,70.65,70.67,9382405.0,663054561.35
2021-07-22,70.49,70.74,70.1,70.55,9668085.0,682083396.75
2021-07-23,70.57,71.49,70.47,71.4,9763189.0,697091694.6
2021-07-26,71.29,71.63,71.115,71.52,5972444.0,427149194.88
2021-07-27,71.5,71.98,71.27,71.67,14772492.0,1058744501.64
2021-07-28,71.5,71.59,70.89,71.04,9136883.0,649084168.32
2021-07-29,71.3,71.5899,71.23,71.39,8811096.0,629024143.44
2021-07-30,71.5,71.88,71.4,71.51,10403736.0,743971161.36
2021-08-02,71.51,71.58,71.13,71.21,12050103.0,858087834.6299999
