timestamps,open,high,low,close,volume,amount
2021-05-28,32.6,32.7,32.48,32.58,19278212.0,628084146.9599999
2021-06-01,32.655,32.73,32.305,32.38,22184500.0,718334110.0
2021-06-02,32.43,32.73,32.3,32.55,20497490.0,667193299.5
2021-06-03,32.4,32.85,32.2901,32.745,23763848.0,778147202.76
2021-06-04,32.83,32.88,32.655,32.695,14486482.0,473635528.99
2021-06-07,32.725,32.805,32.67,32.755,13855292.0,453830089.46
2021-06-08,32.825,32.85,32.335,32.475,18405836.0,597729524.1
2021-06-09,32.555,32.825,32.485,32.765,18794488.0,615801399.32
2021-06-10,32.79,33.015,32.71,32.98,16682934.0,550203163.3199999
2021-06-11,32.98,33.08,32.825,33.055,18248152.0,603192664.36
2021-06-14,33.06,33.2075,32.925,33.125,13779866.0,456458061.25
2021-06-15,33.165,33.405,33.07,33.225,32833210.0,1090883402.25
2021-06-16,33.31,33.43,32.71,32.725,46316518.0,1515708051.55
2021-06-17,32.7,33.085,32.605,32.905,25746960.0,847203718.8000001
2021-06-18,32.715,32.74,32.0,32.05,36118124.0,1157585874.1999998
2021-06-21,31.905,32.295,31.7251,32.215,27948074.0,900347203.9100001
2021-06-22,32.215,32.31,32.005,32.02,16628732.0,532451998.6400001
2021-06-23,32.0,32.0,31.585,31.68,25725650.0,814988592.0
2021-06-24,31.72,31.73,31.51,31.65,15330086.0,485197221.9
2021-06-25,31.665,32.015,31.63,31.99,18323172.0,586158272.28
2021-06-28,32.12,32.355,32.075,32.195,16777128.0,540139635.96
2021-06-29,32.095,32.285,31.58,31.675,24812216.0,785926941.8000001
2021-06-30,31.65,31.77,31.495,31.615,19123926.0,604602920.49
2021-07-01,31.675,32.0675,31.55,31.96,23026678.0,735932628.88
2021-07-02,32.045,32.045,31.8475,32.01,18725858.0,599414714.5799999
2021-07-06,32.005,32.165,31.64,32.145,18221572.0,585732431.94
2021-07-07,32.16,32.36,31.98,32.355,24261126.0,784968731.7299999
2021-07-08,32.175,32.455,32.125,32.26,20579342.0,663889572.92
2021-07-09,32.305,32.39,32.035,32.3,21520788.0,695121452.4
2021-07-12,32.265,32.4325,32.1075,32.405,17372494.0,562955668.07
2021-07-13,32.35,32.455,32.045,32.16,22588248.0,726438055.68
2021-07-14,32.17,32.58,32.02,32.44,20747686.0,673054933.8399999
2021-07-15,32.33,32.83,32.32,32.805,28618686.0,938835994.23
2021-07-16,32.84,33.305,32.805,33.135,33169266.0,1099063628.9099998
2021-07-19,33.0,33.2625,32.24,32.61,45803492.0,1493651874.12
2021-07-20,32.64,33.08,32.64,32.75,33833640.0,1108051710.0
2021-07-21,32.77,32.845,32.365,32.39,22491492.0,728499425.88
2021-07-22,32.425,32.585,32.3325,32.44,22918736.0,743483795.8399999
2021-07-23,32.52,32.885,32.46,32.855,16289844.0,535202824.61999995
2021-07-26,32.79,32.965,32.635,32.865,18107516.0,595103513.34
2021-07-27,32.84,33.4875,32.65,33.43,34309418.0,1146963843.74
2021-07-28,33.415,33.475,32.93,33.175,25006880.0,829603243.9999999
2021-07-29,33.235,33.36,33.0725,33.265,30247706.0,1006189940.09
2021-07-30,33.245,33.5225,32.91,32.985,25265102.0,833369389.47
2021-08-02,33.06,33.36,33.02,33.24,23564108.0,783270949.9200001
2021-08-03,33.29,33.585,33.135,33.43,25994546.0,868997672.78
2021-08-04,33.295,33.42,32.965,33.38,32377984.0,1080777105.92
2021-08-05,33.425,33.79,33.3375,33.745,31790792.0,1072780276.04
2021-08-06,33.71,33.97,33.63,33.725,20000936.0,674531566.6
2021-08-09,33.75,33.84,33.53,33.715,16865328.0,568614533.5200001
2021-08-10,33.745,33.865,33.595,33.75,15834348.0,534409245.0
2021-08-11,33.825,34.22,33.825,34.065,18488892.0,629824105.9799999
2021-08-12,34.005,34.2175,33.988,34.1,18920256.0,645180729.6
2021-08-13,34.17,34.38,34.1,34.34,23581444.0,809786786.96
2021-08-16,34.34,34.795,34.305,34.55,25796812.0,891279854.5999999
2021-08-17,34.455,34.575,34.2262,34.57,23037486.0,796405891.02
2021-08-18,34.565,34.64,34.28,34.395,31411602.0,1080402050.7900002
2021-08-19,34.41,34.815,34.3732,34.535,27723044.0,957415324.54
2021-08-20,34.475,34.99,34.295,34.965,23581548.0,824528825.82
2021-08-23,34.94,34.95,34.45,34.515,21830730.0,753487645.95
2021-08-24,34.5,34.53,34.06,34.29,25331556.0,868619055.24
2021-08-25,34.285,34.465,34.09,34.355,16329812.0,561010691.26
2021-08-26,34.355,34.37,34.195,34.27,16631772.0,569970826.44
2021-08-27,34.305,34.4175,34.1965,34.26,21005080.0,719634040.8
2021-08-30,34.25,34.41,34.135,34.31,23691786.0,812865177.6600001
2021-08-31,34.295,34.4633,34.1268,34.27,22580162.0,773822151.7400001
2021-09-01,34.365,34.835,34.32,34.72,26667464.0,925894350.08
2021-09-02,34.795,35.035,34.76,35.035,20599404.0,721700119.14
2021-09-03,34.93,34.98,34.6601,34.745,18945442.0,658259382.29
2021-09-07,34.715,34.72,34.225,34.285,26363462.0,903871294.67
2021-09-08,34.265,34.995,34.185,34.9,29173470.0,1018154103.0
2021-09-09,34.79,34.9125,34.6825,34.71,16355034.0,567683230.14
2021-09-10,34.685,34.725,34.215,34.225,24654410.0,843797182.25
2021-09-13,34.515,34.555,34.065,34.165,26269954.0,897512978.41
2021-09-14,34.275,34.385,33.965,34.05,28127886.0,957754518.3
2021-09-15,34.0,34.2275,33.815,34.005,19838716.0,674615537.58
2021-09-16,34.0,34.14,33.67,33.72,31464108.0,1060969721.76
2021-09-17,33.65,33.83,33.17,33.2,25108548.0,833603793.6
2021-09-20,32.88,33.1775,32.53,32.89,45678626.0,1502370009.14
2021-09-21,32.985,33.21,32.78,32.8,26417564.0,866496099.1999999
2021-09-22,32.92,33.045,32.655,32.78,24788100.0,812553918.0
2021-09-23,32.78,33.025,32.575,32.605,19333176.0,630358203.4799999
2021-09-24,32.6,32.815,32.49,32.57,23660694.0,770628803.58
2021-09-27,32.515,32.845,32.1375,32.185,21783372.0,701097827.82
2021-09-28,32.155,32.205,31.685,31.78,40471674.0,1286189799.72
2021-09-29,31.875,32.42,31.79,32.195,30867698.0,993785537.11
2021-09-30,32.315,32.335,31.895,31.94,27215040.0,869248377.6
2021-10-01,32.135,32.195,31.83,31.94,29001276.0,926300755.44
2021-10-04,31.905,32.4725,31.89,32.38,40402614.0,1308236641.3200002
2021-10-05,32.42,32.535,32.26,32.3,26130440.0,844013211.9999999
2021-10-06,32.2,32.8232,32.0075,32.8,33152786.0,1087411380.8
2021-10-07,32.86,33.12,32.5875,32.625,27540256.0,898500852.0
2021-10-08,32.62,32.685,32.3625,32.385,17896674.0,579583787.49
2021-10-11,32.25,32.315,31.9,31.945,25420110.0,812045413.95
2021-10-12,31.99,32.2525,31.905,32.16,20996092.0,675234318.7199999
2021-10-13,32.17,32.56,32.0,32.535,26207358.0,852656392.5299999
2021-10-14,32.645,33.0,32.565,32.935,21398138.0,704747675.0300001
2021-10-15,32.985,33.1,32.785,32.84,29602540.0,972147413.6
2021-10-18,32.62,32.705,32.35,32.525,20702056.0,673334371.4
2021-10-19,32.775,32.98,32.685,32.935,21413654.0,705258694.49
2021-10-20,33.07,33.585,33.035,33.455,27799824.0,930043111.92
2021-10-21,33.475,33.59,33.41,33.455,17372730.0,581204682.15
2021-10-22,33.545,33.685,33.47,33.625,21399980.0,719574327.5
2021-10-25,33.575,33.685,33.3975,33.48,15160516.0,507574075.67999995
2021-10-26,33.51,33.92,33.455,33.66,19391392.0,652714254.7199999
2021-10-27,33.74,33.825,33.4,33.435,22263966.0,744395703.21
2021-10-28,33.405,33.6575,33.365,33.655,15443672.0,519756781.16
2021-10-29,33.645,33.785,33.29,33.455,26667140.0,892149168.6999999
2021-11-01,33.445,33.66,33.34,33.575,16182806.0,543337711.45
2021-11-02,33.7,33.765,33.365,33.605,19865246.0,667571591.8299999
2021-11-03,33.55,33.6825,33.2075,33.48,20969594.0,702062007.1199999
2021-11-04,33.43,33.5,32.95,33.295,32183100.0,1071536314.5
2021-11-05,33.405,33.755,33.37,33.61,21584452.0,725453431.72
2021-11-08,33.65,33.655,32.95,33.11,19670234.0,651281447.74
2021-11-09,33.17,33.3725,33.065,33.28,16489424.0,548768030.72
2021-11-10,33.305,33.5775,33.285,33.55,25832606.0,866683931.3
2021-11-11,33.53,33.545,33.1718,33.345,15747430.0,525098053.35
2021-11-12,33.335,33.415,33.18,33.325,18179078.0,605817774.35
2021-11-15,33.47,33.78,33.4,33.765,19003726.0,641660808.39
2021-11-16,33.78,33.845,33.5825,33.605,13213394.0,444036105.36999995
2021-11-17,33.525,33.685,33.355,33.635,19001884.0,639128368.3399999
2021-11-18,33.58,33.645,33.3475,33.46,15305682.0,512128119.72
2021-11-19,33.505,33.725,33.415,33.65,20606252.0,693400379.8
2021-11-22,33.625,34.035,33.535,33.855,23154012.0,783879076.2599999
2021-11-23,33.85,34.09,33.685,33.89,19040698.0,645289255.22
2021-11-24,33.875,33.9788,33.7,33.91,15931572.0,540239606.52
2021-11-26,33.67,33.89,33.2955,33.38,21854548.0,729504812.24
2021-11-29,33.64,33.9675,33.37,33.875,22822276.0,773104599.5
2021-11-30,33.715,33.72,32.855,32.885,48622956.0,1598965908.06
2021-12-01,33.105,33.74,32.925,32.945,46024716.0,1516284268.62
2021-12-02,33.025,33.675,33.025,33.365,35050202.0,1169449989.73
2021-12-03,33.53,33.71,33.0425,33.7,42771466.0,1441398404.2
2021-12-06,33.92,34.57,33.905,34.215,47221910.0,1615697650.65
2021-12-07,34.22,34.5525,34.13,34.47,21789026.0,751067726.22
2021-12-08,34.5,34.6675,34.25,34.435,25994496.0,895120469.7600001
2021-12-09,34.515,34.5825,34.155,34.39,23783720.0,817922130.8000001
2021-12-10,34.53,34.7395,34.395,34.575,23404016.0,809193853.2
2021-12-13,34.54,35.17,34.54,35.0,27500294.0,962510290.0
2021-12-14,34.995,35.065,34.625,34.79,35005386.0,1217837378.94
2021-12-15,34.75,35.39,34.75,35.36,45364922.0,1604103641.92
2021-12-16,35.325,35.755,35.295,35.54,30209250.0,1073636745.0
2021-12-17,35.405,35.58,34.93,35.005,43674152.0,1528813690.7600002
2021-12-20,34.4,34.8,34.1175,34.765,30091532.0,1046132109.98
2021-12-21,34.875,35.1025,34.53,34.715,32355872.0,1123234096.48
2021-12-22,34.66,34.915,34.61,34.865,18967756.0,661310812.94
2021-12-23,34.885,35.04,34.8225,34.86,14505676.0,505667865.36
2021-12-27,34.875,35.03,34.77,35.03,15707370.0,550229171.1
2021-12-28,35.08,35.355,35.055,35.345,16105448.0,569247059.56
2021-12-29,35.385,35.59,35.325,35.535,13755698.0,488808728.42999995
2021-12-30,35.63,35.7,35.405,35.665,18572428.0,662385644.62
2021-12-31,35.59,35.915,35.52,35.79,18618800.0,666366852.0
2022-01-03,35.775,35.7837,35.0275,35.435,43299686.0,1534324373.41
2022-01-04,35.435,35.7775,35.315,35.325,29322172.0,1035805725.9
2022-01-05,35.3,35.7025,35.27,35.305,44486446.0,1570593976.03
2022-01-06,35.305,35.45,34.9,34.94,36259818.0,1266918040.9199998
2022-01-07,34.865,35.375,34.65,35.205,39272054.0,1382572661.07
2022-01-10,35.175,35.225,34.8025,34.975,31170002.0,1090170819.95
2022-01-11,34.945,35.075,34.4275,34.66,33653750.0,1166438975.0
2022-01-12,34.55,34.862,34.45,34.77,28113590.0,977509524.3
2022-01-13,34.755,35.075,34.735,34.94,33948966.0,1186176872.04
2022-01-14,34.94,35.005,34.525,34.7,32547584.0,1129401164.8000002
2022-01-18,34.445,34.505,34.015,34.285,35535028.0,1218318434.9799998
2022-01-19,34.295,34.7444,34.285,34.44,32051578.0,1103856346.32
2022-01-20,34.545,34.985,34.445,34.485,29329618.0,1011431876.73
2022-01-21,34.655,34.835,34.3525,34.42,48542920.0,1670847306.4
2022-01-24,34.38,34.49,33.215,34.09,57602260.0,1963661043.4
2022-01-25,33.56,33.96,33.4,33.555,52218514.0,1752192237.27
2022-01-26,33.62,33.9825,33.095,33.28,49234162.0,1638512911.36
2022-01-27,33.59,33.995,33.41,33.575,44981950.0,1510268971.2500002
2022-01-28,33.485,34.0081,33.23,33.98,50050448.0,1700714223.04
2022-01-31,33.78,34.655,33.71,34.625,52579958.0,1820581045.75
2022-02-01,34.53,34.715,33.8475,34.165,41020242.0,1401456567.93
2022-02-02,34.14,34.72,34.08,34.67,45723742.0,1585242135.14
2022-02-03,34.57,34.73,34.42,34.515,34289716.0,1183509547.74
2022-02-04,34.215,34.545,33.895,34.24,37029106.0,1267876589.44
2022-02-07,34.18,34.33,33.98,34.19,27543848.0,941724163.12
2022-02-08,34.33,34.44,34.13,34.215,38853242.0,1329363675.0300002
2022-02-09,34.46,34.54,34.26,34.365,35231706.0,1210737576.69
2022-02-10,34.025,34.1875,33.425,33.495,45060046.0,1509286240.77
2022-02-11,33.64,33.89,33.3675,33.515,36059712.0,1208541247.68
2022-02-14,33.625,33.68,32.91,33.23,37112266.0,1233240599.1799998
2022-02-15,33.435,33.565,32.925,33.075,34175034.0,1130339249.5500002
2022-02-16,33.12,33.2925,32.825,33.15,32184594.0,1066919291.1
2022-02-17,33.0,33.3275,32.765,33.17,29159868.0,967232821.56
2022-02-18,33.06,33.385,32.96,33.11,33687018.0,1115377165.98
2022-02-22,33.23,33.31,32.85,33.075,34421716.0,1138498256.7
2022-02-23,33.135,33.235,32.48,32.515,34583540.0,1124483803.1
2022-02-24,32.305,32.8375,32.1418,32.775,57319986.0,1878662541.15
2022-02-25,33.065,33.83,32.99,33.79,42528240.0,1437029229.6
2022-02-28,33.585,34.015,33.545,33.965,36705176.0,1246691302.8400002
2022-03-01,33.895,34.19,33.4175,33.67,33464786.0,1126759344.62
2022-03-02,33.685,34.205,33.6675,34.08,29259750.0,997172280.0
2022-03-03,34.215,34.85,34.185,34.68,41471228.0,1438222187.04
2022-03-04,34.59,35.475,34.52,35.445,48684492.0,1725621818.94
2022-03-07,35.525,35.9825,35.225,35.905,61944082.0,2224102264.21
2022-03-08,36.0,36.185,35.335,35.35,53129710.0,1878135248.5
2022-03-09,35.605,35.655,35.035,35.1,50953750.0,1788476625.0
2022-03-10,34.835,35.405,34.81,35.335,34039768.0,1202795202.28
2022-03-11,35.39,35.625,35.18,35.215,24988428.0,879967492.0200001
2022-03-14,35.44,35.62,34.995,35.175,41004570.0,1442335749.75
2022-03-15,35.515,35.7,35.31,35.625,29004424.0,1033282605.0
2022-03-16,35.58,35.735,35.055,35.56,40011880.0,1422822452.8000002
2022-03-17,35.58,35.965,35.51,35.71,31830442.0,1136665083.82
2022-03-18,35.71,35.87,35.325,35.405,37038066.0,1311332726.73
2022-03-21,35.22,35.5701,35.21,35.405,36294322.0,1285000470.41
2022-03-22,35.54,35.54,35.1725,35.455,29286394.0,1038349099.27
2022-03-23,35.42,35.71,35.245,35.505,27989964.0,993783671.82
2022-03-24,35.58,35.915,35.5075,35.87,26591414.0,953834020.18
2022-03-25,36.0,36.405,35.915,36.39,28933408.0,1052886717.12
2022-03-28,36.425,36.625,36.2075,36.625,30959774.0,1133901722.75
2022-03-29,36.61,36.965,36.545,36.965,38114688.0,1408909441.92
