timestamps,open,high,low,close,volume,amount
2021-05-28,86.9,86.9,86.215,86.42,6402092.0,553268790.64
2021-06-01,86.935,86.9945,86.1,86.255,9411000.0,811745805.0
2021-06-02,86.335,86.3425,85.535,85.855,7078192.0,607698174.1600001
2021-06-03,85.305,85.535,84.69,84.835,8741566.0,741590751.6099999
2021-06-04,85.305,85.59,85.065,85.515,6463406.0,552718164.09
2021-06-07,85.45,85.565,84.865,85.515,6411678.0,548294644.17
2021-06-08,86.085,86.48,85.62,86.205,6149936.0,530155232.88
2021-06-09,86.445,86.4975,85.695,85.73,7146816.0,612696535.6800001
2021-06-10,85.885,86.29,85.625,86.135,5238750.0,451239731.25
2021-06-11,86.28,86.615,86.14,86.605,5479998.0,474595226.79
2021-06-14,86.61,86.795,86.125,86.63,5796082.0,502114583.66
2021-06-15,86.64,86.64,85.87,86.17,5677190.0,489203462.3
2021-06-16,86.245,86.415,85.465,86.21,9505796.0,819494673.16
2021-06-17,86.0,86.845,85.8,86.535,9210700.0,797047924.5
2021-06-18,85.9,86.415,85.69,86.08,14030432.0,1207739586.56
2021-06-21,86.23,86.835,85.995,86.615,9659782.0,836682017.93
2021-06-22,86.68,87.7775,86.62,87.43,6764194.0,591393481.4200001
2021-06-23,87.6,88.28,87.555,88.105,5347946.0,471180782.33
2021-06-24,88.775,88.97,88.23,88.405,8002126.0,707427949.03
2021-06-25,89.325,89.375,88.775,88.965,9985732.0,888380647.38
2021-06-28,88.975,89.065,88.515,88.985,5612950.0,499468355.75
2021-06-29,89.04,89.39,88.945,89.205,4650666.0,414862660.53
2021-06-30,89.105,89.68,89.105,89.275,5730550.0,511594851.25000006
2021-07-01,89.495,89.8,89.42,89.78,6260390.0,562057814.2
2021-07-02,90.0,90.585,89.915,90.57,5818028.0,526938795.96
2021-07-06,90.705,90.94,89.8525,90.675,7826676.0,709683846.3
2021-07-07,90.92,91.145,89.985,90.625,6717560.0,608778875.0
2021-07-08,89.215,90.7,88.82,90.4,11336308.0,1024802243.2
2021-07-09,90.79,91.305,90.685,91.245,5654492.0,515944122.54
2021-07-12,91.35,91.895,91.2775,91.87,10828114.0,994778833.18
2021-07-13,91.69,91.84,90.6925,90.77,12408494.0,1126319000.38
2021-07-14,91.27,91.375,90.555,90.605,7497788.0,679337081.74
2021-07-15,90.445,90.855,89.485,90.115,6688090.0,602697230.35
2021-07-16,90.385,90.49,88.9346,89.005,8448848.0,751989716.24
2021-07-19,87.57,88.005,86.885,87.985,16121152.0,1418419558.72
2021-07-20,88.245,89.845,87.81,89.61,9862146.0,883746903.06
2021-07-21,89.94,90.485,89.915,90.435,8196942.0,741290449.77
2021-07-22,90.36,90.93,89.905,90.825,8076728.0,733568820.6
2021-07-23,91.135,91.785,90.92,91.635,7022246.0,643483512.21
2021-07-26,91.685,92.325,91.45,92.315,6576008.0,607064178.52
2021-07-27,92.255,92.255,90.4,91.38,7382810.0,674641177.8
2021-07-28,91.275,91.6022,90.65,91.085,5987044.0,545329902.74
2021-07-29,91.495,92.345,91.435,92.11,7307382.0,673082956.02
2021-07-30,90.215,91.0475,90.045,90.215,9327180.0,841451543.7
2021-08-02,90.95,91.19,90.38,90.475,7302902.0,660730058.4499999
2021-08-03,90.845,91.17,90.045,91.145,8446218.0,769830539.61
2021-08-04,90.95,91.09,90.26,90.26,7912932.0,714221242.32
2021-08-05,90.535,91.19,90.465,91.125,5401208.0,492185079.0
2021-08-06,91.25,91.305,90.405,90.505,5822274.0,526944908.36999995
2021-08-09,90.525,90.6,90.16,90.38,5560652.0,502571727.76
2021-08-10,90.48,91.075,90.28,90.735,5201048.0,471917090.28
2021-08-11,90.935,91.135,90.6,91.0,5500730.0,500566430.0
2021-08-12,90.94,91.085,90.31,91.04,5231222.0,476250450.88000005
2021-08-13,91.1,91.15,90.595,90.78,4936438.0,448129841.64
2021-08-16,90.25,90.43,89.405,90.36,6657592.0,601580013.12
2021-08-17,89.22,89.22,87.475,88.215,11065248.0,976120852.32
2021-08-18,88.19,89.44,88.085,88.53,9998146.0,885135865.38
2021-08-19,87.77,88.6,87.435,87.965,11334598.0,997047913.07
2021-08-20,88.105,88.909,88.025,88.81,6618448.0,587784366.88
2021-08-23,89.285,90.16,89.195,89.955,6890366.0,619822873.53
2021-08-24,90.335,90.85,90.175,90.59,5791652.0,524665754.68
2021-08-25,90.59,91.055,90.42,90.94,7266698.0,660833516.12
2021-08-26,90.63,90.675,89.915,90.1,7394276.0,666224267.5999999
2021-08-27,90.3,91.0775,90.15,90.92,7964892.0,724167980.64
2021-08-30,91.18,91.915,91.125,91.605,7366682.0,674824904.61
2021-08-31,91.69,91.87,91.31,91.825,9555766.0,877458212.95
2021-09-01,92.14,92.31,91.7525,91.82,8198336.0,752771211.52
2021-09-02,92.065,92.3475,91.675,91.815,6715286.0,616563984.09
2021-09-03,91.575,91.785,91.18,91.76,6889698.0,632198688.48
2021-09-07,91.8,92.25,91.76,92.03,8775530.0,807612025.9
2021-09-08,92.005,92.3525,91.38,92.135,7385516.0,680464516.6600001
2021-09-09,92.205,92.78,91.98,92.015,8714798.0,801892137.97
2021-09-10,92.505,92.59,91.41,91.45,9627266.0,880413475.7
2021-09-13,91.86,91.935,90.775,91.675,11548166.0,1058678118.05
2021-09-14,91.85,91.97,90.99,91.37,8480274.0,774842635.38
2021-09-15,91.16,92.1075,90.49,91.96,10314200.0,948493832.0
2021-09-16,91.77,92.61,91.6006,92.38,12171410.0,1124394855.8
2021-09-17,92.27,92.7975,91.845,92.055,14925098.0,1373929896.39
2021-09-20,90.175,90.64,88.69,89.82,16191900.0,1454356458.0
2021-09-21,90.36,90.685,89.67,89.955,12503694.0,1124769793.77
2021-09-22,90.515,91.6,90.31,91.18,12367470.0,1127665914.6
2021-09-23,91.57,92.5,91.57,92.105,8275192.0,762186559.1600001
2021-09-24,91.515,92.53,91.405,92.45,8033032.0,742653808.4
2021-09-27,92.08,93.195,92.045,92.945,9487922.0,881854910.29
2021-09-28,92.395,92.535,90.665,91.155,14941794.0,1362019232.07
2021-09-29,91.465,92.16,91.025,91.245,12192218.0,1112478931.41
2021-09-30,91.26,91.3275,89.725,89.725,16514610.0,1481773382.25
2021-10-01,90.18,90.825,89.25,90.4,15519788.0,1402988835.2
2021-10-04,90.675,90.94,89.38,89.685,18494116.0,1658644793.46
2021-10-05,89.995,90.875,89.785,90.045,10968634.0,987670648.53
2021-10-06,89.485,90.435,89.12,90.33,10272534.0,927917996.22
2021-10-07,91.11,92.08,91.015,91.735,7537796.0,691479716.06
2021-10-08,91.77,91.855,91.23,91.315,7408524.0,676509369.06
2021-10-11,91.28,92.0,90.94,90.945,6637088.0,603609968.16
2021-10-12,91.5,92.035,91.25,91.665,10282210.0,942518779.65
2021-10-13,91.945,92.365,91.39,92.115,10831974.0,997787285.01
2021-10-14,92.65,93.23,92.55,93.08,7514600.0,699458968.0
2021-10-15,93.66,94.5425,93.52,94.505,8717576.0,823854519.88
2021-10-18,94.305,95.725,94.285,95.66,7867108.0,752567551.28
2021-10-19,95.885,95.885,95.2902,95.39,5808810.0,554102385.9
2021-10-20,95.39,95.745,95.155,95.32,9606942.0,915733711.44
2021-10-21,95.16,96.775,95.155,96.72,7130276.0,689640294.72
2021-10-22,96.66,96.905,95.95,96.375,7376708.0,710930233.5
2021-10-25,97.215,99.185,96.825,98.765,11077132.0,1094032941.98
2021-10-26,99.195,100.805,98.39,98.78,15031450.0,1484806631.0
2021-10-27,99.235,99.935,98.97,99.0,9831044.0,973273356.0
2021-10-28,99.83,100.61,99.55,100.315,9001554.0,902990889.51
2021-10-29,99.17,100.63,98.895,100.575,8508374.0,855729715.0500001
2021-11-01,101.315,102.44,100.71,102.42,11234362.0,1150623356.04
2021-11-02,101.54,102.35,101.215,101.73,13559246.0,1379382095.5800002
2021-11-03,101.705,103.625,101.61,103.56,12816320.0,1327258099.2
2021-11-04,104.06,105.36,103.93,104.955,11600212.0,1217500250.46
2021-11-05,105.62,106.35,105.53,105.63,9631200.0,1017343656.0
2021-11-08,104.505,105.41,104.095,104.135,11715486.0,1219992134.61
2021-11-09,104.51,104.64,101.915,102.21,33102350.0,3383391193.5
2021-11-10,101.545,103.265,100.535,101.83,22688220.0,2310341442.6
2021-11-11,102.915,102.924,101.51,101.555,12413344.0,1260637149.92
2021-11-12,101.585,102.025,100.93,101.895,10335068.0,1053091753.86
2021-11-15,101.97,102.165,101.225,101.81,10612076.0,1080415457.56
2021-11-16,101.94,103.65,101.92,103.415,11301108.0,1168704083.8200002
2021-11-17,103.855,104.705,103.655,104.075,16545994.0,1722024325.55
2021-11-18,104.615,105.43,104.065,105.255,14804206.0,1558216702.53
2021-11-19,105.255,105.995,105.04,105.71,14949548.0,1580316719.08
2021-11-22,106.39,107.53,105.01,105.445,18431198.0,1943477673.11
2021-11-23,105.54,106.12,103.245,104.68,22962832.0,2403749253.76
2021-11-24,103.575,105.215,103.025,104.895,16341248.0,1714115208.96
2021-11-26,103.16,103.515,101.865,102.035,15329190.0,1564113901.65
2021-11-29,103.375,104.445,103.115,103.62,16767508.0,1737449178.96
2021-11-30,103.385,104.04,101.675,102.22,26435818.0,2702269315.96
2021-12-01,103.375,104.375,100.305,100.375,25862998.0,2595998424.25
2021-12-02,100.915,102.285,100.285,101.805,33287884.0,3388873030.6200004
2021-12-03,102.185,102.485,98.8,99.825,28537796.0,2848785485.7000003
