timestamps,open,high,low,close,volume,amount
2021-05-28,89.82,89.82,88.2,89.07,3670412.0,326923596.84
2021-06-01,91.47,95.05,91.35,94.83,10506411.0,996322955.13
2021-06-02,95.6888,97.59,93.9786,96.35,10094271.0,972583010.85
2021-06-03,96.35,97.73,95.33,96.45,6067472.0,585207674.4
2021-06-04,97.59,97.96,95.0263,96.42,5411186.0,521746554.12
2021-06-07,96.9,98.02,96.55,97.35,5308268.0,516759889.7999999
2021-06-08,96.91,98.61,95.15,98.3,6851849.0,673536756.6999999
2021-06-09,99.35,100.01,97.55,97.76,5991684.0,585747027.84
2021-06-10,99.32,99.52,95.28,96.71,7060834.0,682853256.14
2021-06-11,97.82,98.38,97.01,97.36,5212859.0,507523952.24
2021-06-14,98.11,99.3411,95.89,96.29,4848392.0,466851665.68
2021-06-15,97.0,98.12,96.02,97.97,5665573.0,555056186.81
2021-06-16,97.41,98.4,95.73,97.45,6645813.0,647634476.85
2021-06-17,97.01,97.92,91.18,93.02,12700423.0,1181393347.46
2021-06-18,91.0,93.09,90.51,91.01,9725676.0,885133772.76
2021-06-21,91.65,95.42,91.34,95.37,7648669.0,729453562.5300001
2021-06-22,94.98,96.17,93.6,95.9,6130115.0,587878028.5
2021-06-23,97.02,99.03,96.98,97.03,5892358.0,571735496.74
2021-06-24,97.12,98.775,96.45,98.58,4289226.0,422831899.08
2021-06-25,99.28,100.065,98.55,99.75,8336562.0,831572059.5
2021-06-28,99.54,99.56,94.76,95.4,8859043.0,845152702.2
2021-06-29,96.48,97.4378,94.71,94.89,5524561.0,524225593.29
2021-06-30,95.84,96.94,95.4,96.69,5804309.0,561218637.21
2021-07-01,99.69,100.2,97.89,98.98,6624225.0,655665790.5
2021-07-02,98.62,98.63,96.83,97.19,6803802.0,661261516.38
2021-07-06,97.16,97.23,92.52,93.23,9591917.0,894254421.9100001
2021-07-07,93.23,94.39,89.37,91.07,9076712.0,826616161.8399999
2021-07-08,89.01,92.91,88.34,91.58,5743344.0,525975443.52
2021-07-09,93.01,94.12,91.49,93.89,5346448.0,501978002.72
2021-07-12,92.63,94.23,91.67,93.21,4414211.0,411448607.30999994
2021-07-13,93.0,93.39,91.3999,92.03,6230936.0,573433040.08
2021-07-14,92.55,93.42,87.06,87.48,12063994.0,1055358195.12
2021-07-15,86.38,87.75,84.75,85.72,9447033.0,809799668.76
2021-07-16,86.78,86.95,82.04,82.32,10247611.0,843583337.52
2021-07-19,78.98,80.5,77.44,78.96,11026853.0,870680312.8799999
2021-07-20,79.05,81.36,78.21,80.86,9028682.0,730059226.52
2021-07-21,82.73,85.765,82.6,84.75,8496876.0,720110241.0
2021-07-22,84.75,84.83,82.05,83.03,7150788.0,593729927.64
