timestamps,open,high,low,close,volume,amount
2021-05-28,330.51,336.33,329.63,331.53,2745710.0,910285236.3
2021-06-01,333.33,336.14,321.7,327.72,6607106.0,2165280778.32
2021-06-02,331.8841,333.7899,322.21,327.11,6252059.0,2045111019.49
2021-06-03,320.1135,325.83,318.25,319.01,3104762.0,990450125.62
2021-06-04,321.5909,338.99,319.77,336.0,5604900.0,1883246400.0
2021-06-07,332.67,344.93,331.1225,342.66,4538681.0,1555224431.46
2021-06-08,343.0,350.15,339.22,341.26,2842679.0,970092635.54
2021-06-09,330.63,340.34,330.23,333.63,2721234.0,907885299.42
2021-06-10,332.05,346.88,331.0,346.5,2809175.0,973379137.5
2021-06-11,347.64,367.96,345.1001,366.4,6783411.0,2485441790.3999996
2021-06-14,361.87,369.5773,359.3989,365.91,3444302.0,1260304544.8200002
2021-06-15,364.5,364.5,357.048,359.0,2587908.0,929058972.0
2021-06-16,357.815,366.83,355.41,361.83,2669178.0,965788675.74
2021-06-17,358.205,374.52,358.205,372.95,3416645.0,1274237752.75
2021-06-18,374.01,379.89,370.93,374.24,4469088.0,1672511493.12
2021-06-21,368.78,372.6244,363.2901,369.25,1893584.0,699205892.0
2021-06-22,368.51,377.0,368.5,374.65,1998979.0,748917482.3499999
2021-06-23,375.0,382.71,373.9901,376.92,2358930.0,889127895.6
2021-06-24,378.45,382.5,372.3201,373.4,2438864.0,910671817.6
2021-06-25,374.07,374.08,364.08,372.47,3647178.0,1358464389.66
2021-06-28,375.94,393.33,374.5,388.86,3451651.0,1342209007.86
2021-06-29,388.85,395.44,382.77,394.73,2582740.0,1019484960.2
2021-06-30,395.0,395.4322,385.54,387.03,2249364.0,870571348.92
2021-07-01,386.12,390.11,382.0,386.48,1464846.0,566133682.08
2021-07-02,390.48,398.72,386.5501,388.89,2066642.0,803696407.38
2021-07-06,392.58,403.47,391.5601,401.12,3436160.0,1378312499.2
2021-07-07,403.86,406.48,393.3,393.91,2026580.0,798290127.8000001
2021-07-08,386.0,390.5,377.5,386.01,2748854.0,1061085132.54
2021-07-09,381.02,387.5299,377.7923,385.08,1918192.0,738657375.36
2021-07-12,385.41,390.88,378.27,379.12,1902545.0,721292860.4
2021-07-13,379.04,384.5,375.41,378.39,1752736.0,663217775.04
2021-07-14,380.8,381.31,360.45,360.61,2599594.0,937439592.34
2021-07-15,363.93,368.5755,355.35,356.81,2399727.0,856246590.87
2021-07-16,359.87,365.5,354.34,361.97,1887136.0,683086617.9200001
2021-07-19,356.3299,357.5,343.82,354.2,7787637.0,2758381025.4
2021-07-20,357.825,359.24,347.08,355.81,4061077.0,1444971807.37
