timestamps,open,high,low,close,volume,amount
2021-05-28,176.2,178.15,175.57,176.68,1471684.0,260017129.12
2021-06-01,177.36,177.48,173.83,174.19,1406080.0,244925075.2
2021-06-02,174.0,174.94,172.23,172.95,1437987.0,248699851.65
2021-06-03,172.37,174.52,171.88,173.82,1054597.0,183310050.54
2021-06-04,174.83,176.08,174.065,175.2,1238981.0,217069471.2
2021-06-07,175.41,176.74,174.49,175.1,1387925.0,243025667.5
2021-06-08,175.89,176.22,173.13,174.1,962703.0,167606592.29999998
2021-06-09,175.4,176.905,174.65,176.69,1376197.0,243160247.93
2021-06-10,176.98,182.85,176.98,182.1,1907174.0,347296385.4
2021-06-11,182.0,182.635,179.61,182.2,1640942.0,298979632.4
2021-06-14,182.07,184.77,181.19,184.58,3716470.0,685986032.6
2021-06-15,184.66,186.1,183.89,185.67,1655076.0,307297960.91999996
2021-06-16,186.0,186.84,183.36,184.11,1963289.0,361461137.79
2021-06-17,184.09,186.93,183.78,186.44,1263357.0,235540279.08
2021-06-18,184.75,186.9436,184.49,185.39,3642876.0,675352781.64
2021-06-21,185.55,187.32,183.66,186.6,2000281.0,373252434.6
2021-06-22,186.53,187.0,185.88,186.62,1433688.0,267554854.56
2021-06-23,186.0,186.55,185.28,186.12,1304812.0,242851609.44
2021-06-24,186.92,187.37,184.98,185.38,1722958.0,319401954.04
2021-06-25,185.5,187.29,184.5,187.23,2020599.0,378316750.77
2021-06-28,187.34,187.93,185.64,187.08,1402555.0,262389989.4
2021-06-29,187.09,188.19,186.09,187.99,878676.0,165182301.24
2021-06-30,188.11,188.53,185.58,186.36,1222111.0,227752605.96
2021-07-01,187.0,189.46,186.61,189.29,2019578.0,382285919.62
2021-07-02,189.87,193.04,189.76,192.7,1789496.0,344835879.2
2021-07-06,191.61,194.33,191.61,194.02,1567209.0,304069890.18
2021-07-07,195.21,197.63,193.3,197.4,2671781.0,527409569.4
2021-07-08,195.8,197.25,193.38,196.96,2844805.0,560312792.8000001
2021-07-09,197.12,198.3999,196.16,197.5,1540469.0,304242627.5
2021-07-12,197.91,199.3,197.47,198.33,2698402.0,535174068.66
2021-07-13,198.61,200.57,198.2,199.31,3024707.0,602854352.17
2021-07-14,200.06,202.04,199.55,201.28,1823357.0,367005296.96
2021-07-15,201.28,201.28,199.02,200.24,1470015.0,294355803.6
2021-07-16,199.89,200.24,197.55,199.68,1860961.0,371596692.48
2021-07-19,198.47,199.5,195.56,197.83,2099449.0,415333995.67
2021-07-20,197.24,201.45,197.24,200.11,1908038.0,381817484.18
2021-07-21,200.87,200.87,197.11,198.04,1898054.0,375890614.16
2021-07-22,198.53,200.91,198.345,200.54,1509538.0,302722750.52
2021-07-23,201.74,203.94,200.65,203.59,972324.0,197955443.16
2021-07-26,202.61,202.84,200.17,200.82,1138881.0,228710082.42
2021-07-27,201.32,202.695,201.02,201.87,1649952.0,333075810.24
2021-07-28,202.29,203.91,201.59,203.27,1386100.0,281752547.0
2021-07-29,203.98,205.67,203.62,204.12,1114805.0,227553996.6
2021-07-30,202.46,204.2,202.23,202.7,2427476.0,492049385.2
2021-08-02,203.48,204.405,201.3401,202.11,1580731.0,319481542.41
2021-08-03,203.0,204.33,202.27,204.1,2915548.0,595063346.8
2021-08-04,204.17,207.0,203.25,204.79,1824833.0,373707550.07
2021-08-05,198.0,203.97,195.61,203.84,2149399.0,438133492.16
2021-08-06,204.2,204.2,200.13,201.88,1282630.0,258937344.4
2021-08-09,202.37,202.96,198.67,199.72,1238015.0,247256355.8
2021-08-10,200.18,200.88,198.19,198.76,1476887.0,293546060.12
2021-08-11,198.48,199.885,196.96,197.41,1083953.0,213983161.73
2021-08-12,197.5,200.4194,197.18,199.84,831169.0,166100812.96
2021-08-13,200.51,201.61,199.59,201.48,934532.0,188289507.36
2021-08-16,201.61,204.85,201.03,204.78,1040250.0,213022395.0
2021-08-17,204.55,206.72,204.55,206.6,1080462.0,223223449.2
2021-08-18,206.23,206.818,203.16,203.33,1089345.0,221496518.85
2021-08-19,203.01,208.05,202.68,206.44,1126439.0,232542067.16
2021-08-20,206.62,208.26,206.61,207.05,1194003.0,247218321.15
2021-08-23,207.71,208.56,205.99,206.47,1081602.0,223318364.94
2021-08-24,206.09,206.96,204.49,204.99,978715.0,200626787.85
2021-08-25,204.39,205.0799,202.98,204.43,780731.0,159604838.33
2021-08-26,204.8,205.49,203.36,204.02,957609.0,195371388.18
2021-08-27,204.68,206.19,203.2264,203.82,855276.0,174322354.32
2021-08-30,203.82,206.99,203.8,205.89,667807.0,137494783.23
2021-08-31,205.81,206.08,203.08,204.56,1480595.0,302870513.2
2021-09-01,204.56,206.47,203.48,206.44,1030704.0,212778533.76
2021-09-02,207.43,209.26,206.72,209.22,1116463.0,233586388.86
2021-09-03,208.22,210.1,207.15,209.69,1003468.0,210417204.92
2021-09-07,209.48,209.87,205.46,207.81,1006463.0,209153076.03
2021-09-08,207.0,209.41,206.5,209.33,832601.0,174288367.33
2021-09-09,209.5,210.0,205.86,206.02,1109652.0,228610505.04
2021-09-10,206.71,207.85,206.34,207.0,1151664.0,238394448.0
2021-09-13,208.55,208.99,202.21,205.0,1422370.0,291585850.0
2021-09-14,205.0,206.5,203.37,203.55,1819611.0,370381819.05
2021-09-15,203.7,205.18,202.37,203.96,1374634.0,280370350.64
2021-09-16,204.03,204.19,201.4,202.77,1644690.0,333493791.3
2021-09-17,200.53,202.53,197.88,198.49,4160202.0,825758494.98
2021-09-20,196.67,199.879,195.7947,198.62,1523319.0,302561619.78000003
2021-09-21,199.58,201.8,199.14,201.01,1614942.0,324619491.41999996
2021-09-22,202.48,203.58,200.335,201.35,1673218.0,336902444.3
2021-09-23,202.17,205.98,202.17,204.71,1197606.0,245161924.26
2021-09-24,204.44,205.58,203.76,204.73,1111962.0,227651980.26
2021-09-27,204.01,204.01,196.52,197.8,1964012.0,388481573.6
2021-09-28,196.01,196.25,191.33,192.77,1957259.0,377300817.43
2021-09-29,194.71,196.64,192.59,194.99,1430384.0,278910576.16
2021-09-30,195.94,198.12,194.05,194.14,1800869.0,349620707.65999997
2021-10-01,194.14,197.7,192.43,196.19,2095476.0,411111436.44
2021-10-04,195.18,195.99,190.93,193.69,1942289.0,376201956.41
2021-10-05,195.22,197.495,193.66,196.46,2490230.0,489230585.8
2021-10-06,195.67,196.07,193.445,195.78,1564626.0,306322478.28000003
2021-10-07,196.95,201.44,196.95,199.01,1093408.0,217599126.08
2021-10-08,200.0,200.66,196.47,197.88,1099650.0,217598742.0
2021-10-11,197.56,199.1,196.03,197.65,901938.0,178268045.70000002
2021-10-12,198.89,199.3699,195.77,197.15,1398039.0,275623388.85
2021-10-13,196.97,198.95,195.79,197.46,1223809.0,241653325.14
2021-10-14,198.82,201.77,198.82,200.39,1314745.0,263461750.55
2021-10-15,201.13,202.8,200.12,202.22,1235834.0,249910351.48
2021-10-18,201.98,202.93,200.76,202.73,848761.0,172069317.53
2021-10-19,203.8,206.17,203.715,204.44,813720.0,166356916.8
2021-10-20,205.85,206.61,204.84,206.31,794843.0,163984059.33
2021-10-21,207.08,208.78,205.31,208.62,956999.0,199649131.38
2021-10-22,208.03,209.075,206.84,208.51,1104379.0,230274065.29
2021-10-25,208.81,211.77,207.1,211.52,1224710.0,259050659.2
2021-10-26,211.0,211.74,207.995,210.52,1219253.0,256677141.56
2021-10-27,210.26,211.07,209.0,209.58,1625257.0,340621362.06
2021-10-28,209.84,213.42,209.58,212.67,1073676.0,228338674.92
2021-10-29,213.16,216.915,212.74,216.2,2127498.0,459965067.6
2021-11-01,215.82,217.635,212.96,213.6,1323881.0,282780981.59999996
2021-11-02,214.76,215.39,211.31,212.2,2760904.0,585863828.8
2021-11-03,211.91,213.0,208.78,211.13,2225317.0,469831178.21
2021-11-04,214.0,217.9,213.0,217.77,1947341.0,424072449.57
2021-11-05,218.0,218.49,214.72,216.73,1728047.0,374519626.31
2021-11-08,218.12,218.389,215.76,217.8,1011261.0,220252645.8
2021-11-09,217.69,220.36,217.36,220.22,1622777.0,357367950.94
2021-11-10,219.46,220.81,216.03,216.58,1332001.0,288484776.58000004
2021-11-11,216.98,217.32,215.38,215.69,1340165.0,289060188.85
2021-11-12,216.71,217.605,215.42,216.85,1187095.0,257421550.75
2021-11-15,217.15,217.31,215.65,216.06,918934.0,198544880.04
2021-11-16,216.05,221.55,216.05,220.18,1256819.0,276726407.42
2021-11-17,221.0,222.605,217.43,221.87,1347420.0,298952075.40000004
2021-11-18,224.32,226.33,223.52,225.54,1706308.0,384840706.32
2021-11-19,226.5,228.33,224.2,226.43,1734770.0,392803971.1
2021-11-22,226.7,228.89,224.34,224.34,1655518.0,371398908.12
2021-11-23,223.09,225.31,220.9,223.66,1098814.0,245760739.24
2021-11-24,223.64,224.96,221.07,223.17,1177948.0,262882655.16
2021-11-26,220.68,225.96,218.5,219.32,976493.0,214164444.76
2021-11-29,221.45,225.5582,220.69,223.55,1391634.0,311099780.7
2021-11-30,222.8,226.35,220.5177,222.04,3828401.0,850058158.04
2021-12-01,222.35,224.78,219.25,219.66,2042751.0,448710684.66
2021-12-02,220.0,223.95,219.5,223.19,1705641.0,380682014.79
2021-12-03,224.86,226.11,220.48,223.33,1479423.0,330399538.59000003
2021-12-06,222.89,224.9999,220.99,222.97,1212013.0,270242538.61
